DateTime,Vehicles
01 00:00:00,559
01 01:00:00,585
01 02:00:00,425
01 03:00:00,284
01 04:00:00,389
01 05:00:00,247
01 06:00:00,372
01 07:00:00,338
01 08:00:00,433
01 09:00:00,443
01 10:00:00,616
01 11:00:00,744
01 12:00:00,663
01 13:00:00,612
01 14:00:00,617
01 15:00:00,481
01 16:00:00,501
01 17:00:00,599
01 18:00:00,675
01 19:00:00,798
01 20:00:00,603
01 21:00:00,825
01 22:00:00,797
01 23:00:00,622
02 00:00:00,586
02 01:00:00,506
02 02:00:00,516
02 03:00:00,461
02 04:00:00,428
02 05:00:00,445
02 06:00:00,517
02 07:00:00,579
02 08:00:00,516
02 09:00:00,861
02 10:00:00,1296
02 11:00:00,1248
02 12:00:00,1358
02 13:00:00,996
02 14:00:00,1389
02 15:00:00,1211
02 16:00:00,1119
02 17:00:00,1137
02 18:00:00,944
02 19:00:00,974
02 20:00:00,1188
02 21:00:00,1295
02 22:00:00,1177
02 23:00:00,1064
03 00:00:00,807
03 01:00:00,692
03 02:00:00,669
03 03:00:00,461
03 04:00:00,402
03 05:00:00,435
03 06:00:00,410
03 07:00:00,506
03 08:00:00,500
03 09:00:00,1164
03 10:00:00,1322
03 11:00:00,1260
03 12:00:00,1207
03 13:00:00,1130
03 14:00:00,1091
03 15:00:00,1041
03 16:00:00,1121
03 17:00:00,1041
03 18:00:00,995
03 19:00:00,1214
03 20:00:00,1084
03 21:00:00,913
03 22:00:00,981
03 23:00:00,842
04 00:00:00,715
04 01:00:00,780
04 02:00:00,521
04 03:00:00,539
04 04:00:00,474
04 05:00:00,543
04 06:00:00,524
04 07:00:00,461
04 08:00:00,496
04 09:00:00,889
04 10:00:00,1040
04 11:00:00,1019
04 12:00:00,1273
04 13:00:00,992
04 14:00:00,953
04 15:00:00,1031
04 16:00:00,982
04 17:00:00,961
04 18:00:00,924
04 19:00:00,1000
04 20:00:00,1040
04 21:00:00,961
04 22:00:00,1082
04 23:00:00,965
05 00:00:00,814
05 01:00:00,779
05 02:00:00,661
05 03:00:00,585
05 04:00:00,506
05 05:00:00,348
05 06:00:00,501
05 07:00:00,461
05 08:00:00,656
05 09:00:00,649
05 10:00:00,963
05 11:00:00,982
05 12:00:00,1033
05 13:00:00,934
05 14:00:00,1030
05 15:00:00,916
05 16:00:00,774
05 17:00:00,819
05 18:00:00,910
05 19:00:00,1027
05 20:00:00,885
05 21:00:00,821
05 22:00:00,886
05 23:00:00,826
06 00:00:00,642
06 01:00:00,721
06 02:00:00,800
06 03:00:00,562
06 04:00:00,447
06 05:00:00,531
06 06:00:00,568
06 07:00:00,529
06 08:00:00,520
06 09:00:00,756
06 10:00:00,845
06 11:00:00,1096
06 12:00:00,1065
06 13:00:00,863
06 14:00:00,938
06 15:00:00,886
06 16:00:00,726
06 17:00:00,788
06 18:00:00,836
06 19:00:00,944
06 20:00:00,729
06 21:00:00,720
06 22:00:00,672
06 23:00:00,600
07 00:00:00,640
07 01:00:00,668
07 02:00:00,383
07 03:00:00,312
07 04:00:00,300
07 05:00:00,250
07 06:00:00,360
07 07:00:00,289
07 08:00:00,426
07 09:00:00,555
07 10:00:00,642
07 11:00:00,583
07 12:00:00,557
