DateTime,Vehicles
01 00:00:00,1147
01 01:00:00,1124
01 02:00:00,832
01 03:00:00,565
01 04:00:00,757
01 05:00:00,489
01 06:00:00,736
01 07:00:00,663
01 08:00:00,871
01 09:00:00,913
01 10:00:00,1221
01 11:00:00,1442
01 12:00:00,1310
01 13:00:00,1216
01 14:00:00,1251
01 15:00:00,961
01 16:00:00,987
01 17:00:00,1227
01 18:00:00,1354
01 19:00:00,1598
01 20:00:00,1261
01 21:00:00,1604
01 22:00:00,1596
01 23:00:00,1228
02 00:00:00,1154
02 01:00:00,994
02 02:00:00,1064
02 03:00:00,936
02 04:00:00,893
02 05:00:00,887
02 06:00:00,1036
02 07:00:00,1145
02 08:00:00,1006
02 09:00:00,1736
02 10:00:00,2581
02 11:00:00,2490
02 12:00:00,2746
02 13:00:00,2024
02 14:00:00,2757
02 15:00:00,2414
02 16:00:00,2210
02 17:00:00,2233
02 18:00:00,1900
02 19:00:00,1995
02 20:00:00,2356
02 21:00:00,2579
02 22:00:00,2371
02 23:00:00,2140
03 00:00:00,1638
03 01:00:00,1404
03 02:00:00,1403
03 03:00:00,964
03 04:00:00,831
03 05:00:00,874
03 06:00:00,842
03 07:00:00,1051
03 08:00:00,1072
03 09:00:00,2325
03 10:00:00,2643
03 11:00:00,2534
03 12:00:00,2466
03 13:00:00,2282
03 14:00:00,2174
03 15:00:00,2081
03 16:00:00,2241
03 17:00:00,2081
03 18:00:00,1994
03 19:00:00,2390
03 20:00:00,2137
03 21:00:00,1860
03 22:00:00,1976
03 23:00:00,1654
04 00:00:00,1434
04 01:00:00,1517
04 02:00:00,1041
04 03:00:00,1065
04 04:00:00,895
04 05:00:00,1041
04 06:00:00,1045
04 07:00:00,907
04 08:00:00,1009
04 09:00:00,1772
04 10:00:00,2080
04 11:00:00,2082
04 12:00:00,2523
04 13:00:00,1961
04 14:00:00,1883
04 15:00:00,2069
04 16:00:00,2006
04 17:00:00,1921
04 18:00:00,1845
04 19:00:00,2000
04 20:00:00,2080
04 21:00:00,1921
04 22:00:00,2134
04 23:00:00,1927
05 00:00:00,1590
05 01:00:00,1573
05 02:00:00,1364
05 03:00:00,1124
05 04:00:00,1022
05 05:00:00,705
05 06:00:00,987
05 07:00:00,936
05 08:00:00,1272
05 09:00:00,1292
05 10:00:00,1895
05 11:00:00,1948
05 12:00:00,2043
05 13:00:00,1887
05 14:00:00,2067
05 15:00:00,1806
05 16:00:00,1567
05 17:00:00,1625
05 18:00:00,1799
05 19:00:00,2063
05 20:00:00,1767
05 21:00:00,1656
05 22:00:00,1739
05 23:00:00,1662
06 00:00:00,1283
06 01:00:00,1441
06 02:00:00,1572
06 03:00:00,1123
06 04:00:00,918
06 05:00:00,1054
06 06:00:00,1130
06 07:00:00,1080
06 08:00:00,1040
06 09:00:00,1544
06 10:00:00,1715
06 11:00:00,2152
06 12:00:00,2112
06 13:00:00,1710
06 14:00:00,1863
06 15:00:00,1796
06 16:00:00,1476
06 17:00:00,1556
06 18:00:00,1646
06 19:00:00,1900
06 20:00:00,1452
06 21:00:00,1469
06 22:00:00,1321
06 23:00:00,1257
07 00:00:00,1280
07 01:00:00,1316
07 02:00:00,778
07 03:00:00,658
07 04:00:00,614
07 05:00:00,522
07 06:00:00,720
07 07:00:00,600
07 08:00:00,891
07 09:00:00,1085
07 10:00:00,1311
07 11:00:00,1150
07 12:00:00,1116
07 13:00:00,1150
07 14:00:00,1069
07 15:00:00,824
07 16:00:00,1156
07 17:00:00,1094
07 18:00:00,1006
07 19:00:00,1361
07 20:00:00,1377
07 21:00:00,1322
07 22:00:00,1337
07 23:00:00,1160
08 00:00:00,897
08 01:00:00,1330
08 02:00:00,950
08 03:00:00,665
08 04:00:00,836
08 05:00:00,873
08 06:00:00,843
08 07:00:00,682
08 08:00:00,930
08 09:00:00,960
08 10:00:00,1456
08 11:00:00,1157
08 12:00:00,1401
08 13:00:00,1087
08 14:00:00,1138
08 15:00:00,1123
08 16:00:00,952
08 17:00:00,1143
08 18:00:00,1418
08 19:00:00,1040
08 20:00:00,1330
08 21:00:00,1467
08 22:00:00,1120
08 23:00:00,1089
09 00:00:00,1081
09 01:00:00,1180
09 02:00:00,869
09 03:00:00,807
09 04:00:00,696
09 05:00:00,659
09 06:00:00,652
09 07:00:00,855
09 08:00:00,901
09 09:00:00,1421
09 10:00:00,1534
09 11:00:00,1851
09 12:00:00,1836
09 13:00:00,1841
09 14:00:00,1948
09 15:00:00,1959
09 16:00:00,1498
09 17:00:00,1444
09 18:00:00,1628
09 19:00:00,2501
09 20:00:00,1955
09 21:00:00,2729
09 22:00:00,1746
09 23:00:00,1894
10 00:00:00,1421
10 01:00:00,1520
10 02:00:00,1440
10 03:00:00,1315
10 04:00:00,963
10 05:00:00,792
10 06:00:00,1156
10 07:00:00,1218
10 08:00:00,1134
10 09:00:00,2743
10 10:00:00,3151
10 11:00:00,2987
10 12:00:00,2935
10 13:00:00,2091
10 14:00:00,3814
10 15:00:00,3360
10 16:00:00,3359
10 17:00:00,2798
10 18:00:00,3160
10 19:00:00,3223
10 20:00:00,3196
10 21:00:00,2863
10 22:00:00,3006
10 23:00:00,2868
11 00:00:00,2315
11 01:00:00,2041
11 02:00:00,1574
11 03:00:00,1617
11 04:00:00,1544
11 05:00:00,1216
11 06:00:00,1277
11 07:00:00,1130
11 08:00:00,1471
11 09:00:00,1779
11 10:00:00,2418
11 11:00:00,2105
11 12:00:00,2085
11 13:00:00,1816
11 14:00:00,1823
11 15:00:00,1902
11 16:00:00,1700
11 17:00:00,1925
11 18:00:00,2033
11 19:00:00,2214
11 20:00:00,1788
11 21:00:00,1870
11 22:00:00,1817
11 23:00:00,1769
12 00:00:00,1716
12 01:00:00,1316
12 02:00:00,1182
12 03:00:00,920
12 04:00:00,1067
12 05:00:00,678
12 06:00:00,1102
12 07:00:00,1067
12 08:00:00,1192
12 09:00:00,2055
12 10:00:00,3143
12 11:00:00,3189
12 12:00:00,2833
12 13:00:00,2705
12 14:00:00,2625
12 15:00:00,2261
12 16:00:00,2380
12 17:00:00,2053
12 18:00:00,2398
12 19:00:00,2762
12 20:00:00,2993
12 21:00:00,2655
12 22:00:00,2421
12 23:00:00,2134
13 00:00:00,1970
13 01:00:00,1653
13 02:00:00,1238
13 03:00:00,1314
13 04:00:00,1065
13 05:00:00,899
13 06:00:00,1052
13 07:00:00,1218
13 08:00:00,1360
13 09:00:00,1389
13 10:00:00,1911
13 11:00:00,3258
13 12:00:00,2336
13 13:00:00,2003
13 14:00:00,1937
13 15:00:00,2083
13 16:00:00,2001
13 17:00:00,1894
13 18:00:00,2047
13 19:00:00,1878
13 20:00:00,2223
13 21:00:00,1765
13 22:00:00,1854
13 23:00:00,1335
14 00:00:00,1698
14 01:00:00,1634
14 02:00:00,1185
14 03:00:00,1049
14 04:00:00,803
14 05:00:00,832
14 06:00:00,1005
14 07:00:00,696
14 08:00:00,914
14 09:00:00,1160
14 10:00:00,1256
14 11:00:00,1208
14 12:00:00,900
14 13:00:00,878
14 14:00:00,1107
14 15:00:00,1296
14 16:00:00,1461
14 17:00:00,1011
14 18:00:00,1405
14 19:00:00,1187
14 20:00:00,1433
14 21:00:00,1164
14 22:00:00,1698
14 23:00:00,1205
15 00:00:00,1223
15 01:00:00,977
15 02:00:00,1163
15 03:00:00,783
15 04:00:00,569
15 05:00:00,754
15 06:00:00,739
15 07:00:00,689
15 08:00:00,779
15 09:00:00,1222
15 10:00:00,1364
15 11:00:00,1528
15 12:00:00,1320
15 13:00:00,1454
15 14:00:00,1102
15 15:00:00,1203
15 16:00:00,1038
15 17:00:00,1185
15 18:00:00,1399
15 19:00:00,1393
15 20:00:00,1588
15 21:00:00,1322
15 22:00:00,1352
15 23:00:00,1209
16 00:00:00,1417
16 01:00:00,1159
16 02:00:00,1013
16 03:00:00,1200
16 04:00:00,999
16 05:00:00,999
16 06:00:00,1077
16 07:00:00,1165
16 08:00:00,1016
16 09:00:00,1251
16 10:00:00,2027
16 11:00:00,1710
16 12:00:00,2085
16 13:00:00,1929
16 14:00:00,2110
16 15:00:00,1833
16 16:00:00,1939
16 17:00:00,2125
16 18:00:00,1807
16 19:00:00,2375
16 20:00:00,2433
16 21:00:00,2194
16 22:00:00,2147
16 23:00:00,2098
17 00:00:00,1789
17 01:00:00,1676
17 02:00:00,1516
17 03:00:00,1321
17 04:00:00,804
17 05:00:00,872
17 06:00:00,1160
17 07:00:00,990
17 08:00:00,997
17 09:00:00,1548
17 10:00:00,2528
17 11:00:00,3412
17 12:00:00,2904
17 13:00:00,2394
17 14:00:00,2713
17 15:00:00,2283
17 16:00:00,2348
17 17:00:00,2211
17 18:00:00,2222
17 19:00:00,2492
17 20:00:00,2220
17 21:00:00,2098
17 22:00:00,2047
17 23:00:00,2100
18 00:00:00,1943
18 01:00:00,1854
18 02:00:00,1551
18 03:00:00,1507
18 04:00:00,1544
18 05:00:00,1233
18 06:00:00,1606
18 07:00:00,1258
18 08:00:00,1327
18 09:00:00,1525
18 10:00:00,2430
18 11:00:00,3520
18 12:00:00,2836
18 13:00:00,2657
18 14:00:00,2562
