DateTime,Vehicles
01 00:00:00,1294
01 01:00:00,1259
01 02:00:00,934
01 03:00:00,635
01 04:00:00,849
01 05:00:00,549
01 06:00:00,827
01 07:00:00,744
01 08:00:00,980
01 09:00:00,1030
01 10:00:00,1372
01 11:00:00,1617
01 12:00:00,1472
01 13:00:00,1367
01 14:00:00,1409
01 15:00:00,1081
01 16:00:00,1108
01 17:00:00,1384
01 18:00:00,1524
01 19:00:00,1798
01 20:00:00,1425
01 21:00:00,1799
01 22:00:00,1796
01 23:00:00,1380
02 00:00:00,1296
02 01:00:00,1116
02 02:00:00,1201
02 03:00:00,1055
02 04:00:00,1009
02 05:00:00,997
02 06:00:00,1166
02 07:00:00,1286
02 08:00:00,1129
02 09:00:00,1955
02 10:00:00,2902
02 11:00:00,2801
02 12:00:00,3093
02 13:00:00,2281
02 14:00:00,3099
02 15:00:00,2715
02 16:00:00,2483
02 17:00:00,2507
02 18:00:00,2139
02 19:00:00,2250
02 20:00:00,2648
02 21:00:00,2900
02 22:00:00,2669
02 23:00:00,2409
03 00:00:00,1846
03 01:00:00,1582
03 02:00:00,1586
03 03:00:00,1090
03 04:00:00,938
03 05:00:00,984
03 06:00:00,950
03 07:00:00,1187
03 08:00:00,1215
03 09:00:00,2615
03 10:00:00,2973
03 11:00:00,2853
03 12:00:00,2781
03 13:00:00,2570
03 14:00:00,2445
03 15:00:00,2341
03 16:00:00,2521
03 17:00:00,2341
03 18:00:00,2244
03 19:00:00,2684
03 20:00:00,2400
03 21:00:00,2097
03 22:00:00,2225
03 23:00:00,1857
04 00:00:00,1614
04 01:00:00,1701
04 02:00:00,1171
04 03:00:00,1196
04 04:00:00,1000
04 05:00:00,1165
04 06:00:00,1175
04 07:00:00,1018
04 08:00:00,1137
04 09:00:00,1993
04 10:00:00,2340
04 11:00:00,2348
04 12:00:00,2835
04 13:00:00,2203
04 14:00:00,2115
04 15:00:00,2328
04 16:00:00,2262
04 17:00:00,2161
04 18:00:00,2075
04 19:00:00,2250
04 20:00:00,2340
04 21:00:00,2161
04 22:00:00,2397
04 23:00:00,2167
05 00:00:00,1784
05 01:00:00,1771
05 02:00:00,1540
05 03:00:00,1259
05 04:00:00,1151
05 05:00:00,794
05 06:00:00,1108
05 07:00:00,1055
05 08:00:00,1426
05 09:00:00,1453
05 10:00:00,2128
05 11:00:00,2190
05 12:00:00,2295
05 13:00:00,2125
05 14:00:00,2326
05 15:00:00,2029
05 16:00:00,1765
05 17:00:00,1826
05 18:00:00,2021
05 19:00:00,2322
05 20:00:00,1987
05 21:00:00,1865
05 22:00:00,1952
05 23:00:00,1871
06 00:00:00,1443
06 01:00:00,1621
06 02:00:00,1765
06 03:00:00,1263
06 04:00:00,1036
06 05:00:00,1185
06 06:00:00,1271
06 07:00:00,1218
06 08:00:00,1170
06 09:00:00,1741
06 10:00:00,1932
06 11:00:00,2416
06 12:00:00,2374
06 13:00:00,1922
06 14:00:00,2094
06 15:00:00,2024
06 16:00:00,1664
06 17:00:00,1748
06 18:00:00,1849
06 19:00:00,2139
06 20:00:00,1633
06 21:00:00,1656
06 22:00:00,1483
06 23:00:00,1421
07 00:00:00,1440
07 01:00:00,1478
07 02:00:00,877
07 03:00:00,745
07 04:00:00,693
07 05:00:00,590
07 06:00:00,810
07 07:00:00,678
07 08:00:00,1007
07 09:00:00,1217
07 10:00:00,1478
07 11:00:00,1292
07 12:00:00,1256
07 13:00:00,1292
07 14:00:00,1206
07 15:00:00,931
07 16:00:00,1304
07 17:00:00,1227
07 18:00:00,1129
07 19:00:00,1531
07 20:00:00,1553
07 21:00:00,1490
07 22:00:00,1500
07 23:00:00,1308
08 00:00:00,1019
08 01:00:00,1493
08 02:00:00,1064
08 03:00:00,746
08 04:00:00,938
08 05:00:00,977
08 06:00:00,945
08 07:00:00,770
08 08:00:00,1043
08 09:00:00,1080
08 10:00:00,1637
08 11:00:00,1299
08 12:00:00,1573
08 13:00:00,1225
08 14:00:00,1279
08 15:00:00,1263
08 16:00:00,1072
08 17:00:00,1284
08 18:00:00,1597
08 19:00:00,1170
08 20:00:00,1493
08 21:00:00,1648
08 22:00:00,1260
08 23:00:00,1227
09 00:00:00,1213
09 01:00:00,1329
09 02:00:00,978
09 03:00:00,907
09 04:00:00,785
09 05:00:00,740
09 06:00:00,733
09 07:00:00,958
09 08:00:00,1012
09 09:00:00,1594
09 10:00:00,1725
09 11:00:00,2076
09 12:00:00,2066
09 13:00:00,2071
09 14:00:00,2190
09 15:00:00,2201
09 16:00:00,1687
09 17:00:00,1630
09 18:00:00,1830
09 19:00:00,2812
09 20:00:00,2202
09 21:00:00,3075
09 22:00:00,1960
09 23:00:00,2133
10 00:00:00,1605
10 01:00:00,1710
10 02:00:00,1620
10 03:00:00,1482
10 04:00:00,1083
10 05:00:00,892
10 06:00:00,1298
10 07:00:00,1369
10 08:00:00,1275
10 09:00:00,3084
10 10:00:00,3548
10 11:00:00,3364
10 12:00:00,3298
10 13:00:00,2357
10 14:00:00,4293
10 15:00:00,3786
10 16:00:00,3773
10 17:00:00,3148
10 18:00:00,3558
10 19:00:00,3624
10 20:00:00,3596
10 21:00:00,3222
10 22:00:00,3379
10 23:00:00,3222
11 00:00:00,2599
11 01:00:00,2293
11 02:00:00,1767
11 03:00:00,1823
11 04:00:00,1741
11 05:00:00,1367
11 06:00:00,1442
11 07:00:00,1271
11 08:00:00,1658
11 09:00:00,2000
11 10:00:00,2719
11 11:00:00,2366
11 12:00:00,2345
11 13:00:00,2045
11 14:00:00,2052
11 15:00:00,2141
11 16:00:00,1917
11 17:00:00,2165
11 18:00:00,2290
11 19:00:00,2487
11 20:00:00,2010
11 21:00:00,2102
11 22:00:00,2040
11 23:00:00,1989
12 00:00:00,1934
12 01:00:00,1484
12 02:00:00,1331
12 03:00:00,1038
12 04:00:00,1198
12 05:00:00,766
12 06:00:00,1241
12 07:00:00,1198
12 08:00:00,1342
12 09:00:00,2319
12 10:00:00,3534
12 11:00:00,3588
12 12:00:00,3190
12 13:00:00,3044
12 14:00:00,2954
12 15:00:00,2542
12 16:00:00,2679
12 17:00:00,2311
12 18:00:00,2698
12 19:00:00,3110
12 20:00:00,3370
12 21:00:00,2991
12 22:00:00,2722
12 23:00:00,2403
13 00:00:00,2213
13 01:00:00,1861
13 02:00:00,1396
13 03:00:00,1476
13 04:00:00,1196
13 05:00:00,1010
13 06:00:00,1183
13 07:00:00,1369
13 08:00:00,1530
13 09:00:00,1566
13 10:00:00,2150
13 11:00:00,3667
13 12:00:00,2627
13 13:00:00,2253
13 14:00:00,2183
13 15:00:00,2343
13 16:00:00,2251
13 17:00:00,2133
13 18:00:00,2305
13 19:00:00,2116
13 20:00:00,2502
13 21:00:00,1985
13 22:00:00,2085
13 23:00:00,1509
14 00:00:00,1909
14 01:00:00,1836
14 02:00:00,1334
14 03:00:00,1179
14 04:00:00,903
14 05:00:00,934
14 06:00:00,1127
14 07:00:00,785
14 08:00:00,1026
14 09:00:00,1308
14 10:00:00,1415
14 11:00:00,1364
14 12:00:00,1017
14 13:00:00,988
14 14:00:00,1246
14 15:00:00,1457
14 16:00:00,1642
14 17:00:00,1139
14 18:00:00,1577
14 19:00:00,1336
14 20:00:00,1618
14 21:00:00,1312
14 22:00:00,1898
14 23:00:00,1355
15 00:00:00,1374
15 01:00:00,1103
15 02:00:00,1305
15 03:00:00,882
15 04:00:00,645
15 05:00:00,846
15 06:00:00,830
15 07:00:00,777
15 08:00:00,872
15 09:00:00,1379
15 10:00:00,1540
15 11:00:00,1713
15 12:00:00,1488
15 13:00:00,1635
15 14:00:00,1241
15 15:00:00,1353
15 16:00:00,1168
15 17:00:00,1334
15 18:00:00,1582
15 19:00:00,1570
15 20:00:00,1793
15 21:00:00,1490
15 22:00:00,1522
15 23:00:00,1359
16 00:00:00,1590
16 01:00:00,1301
16 02:00:00,1141
16 03:00:00,1350
16 04:00:00,1121
16 05:00:00,1121
16 06:00:00,1209
16 07:00:00,1307
16 08:00:00,1145
16 09:00:00,1409
16 10:00:00,2284
16 11:00:00,1922
16 12:00:00,2345
16 13:00:00,2169
16 14:00:00,2372
16 15:00:00,2057
16 16:00:00,2180
16 17:00:00,2387
16 18:00:00,2035
16 19:00:00,2668
16 20:00:00,2740
16 21:00:00,2466
16 22:00:00,2416
16 23:00:00,2359
17 00:00:00,2016
17 01:00:00,1886
17 02:00:00,1706
17 03:00:00,1483
17 04:00:00,910
17 05:00:00,982
17 06:00:00,1308
17 07:00:00,1112
17 08:00:00,1119
17 09:00:00,1734
17 10:00:00,2841
17 11:00:00,3835
17 12:00:00,3271
17 13:00:00,2694
17 14:00:00,3047
17 15:00:00,2565
17 16:00:00,2640
17 17:00:00,2489
17 18:00:00,2501
17 19:00:00,2803
17 20:00:00,2499
17 21:00:00,2359
17 22:00:00,2305
17 23:00:00,2367
18 00:00:00,2184
18 01:00:00,2085
18 02:00:00,1748
18 03:00:00,1696
18 04:00:00,1741
18 05:00:00,1390
18 06:00:00,1801
18 07:00:00,1417
18 08:00:00,1495
18 09:00:00,1715
18 10:00:00,2732
18 11:00:00,3960
18 12:00:00,3188
18 13:00:00,2993
18 14:00:00,2877
18 15:00:00,2793
18 16:00:00,2584
18 17:00:00,3046
18 18:00:00,3409
18 19:00:00,3411
18 20:00:00,3042
18 21:00:00,2790
18 22:00:00,2646
18 23:00:00,2483
19 00:00:00,2921
19 01:00:00,1971
19 02:00:00,1891
19 03:00:00,1521
19 04:00:00,1604
19 05:00:00,1511
19 06:00:00,1375
19 07:00:00,1594
19 08:00:00,1650
19 09:00:00,2267
19 10:00:00,2816
19 11:00:00,2832
19 12:00:00,2755
19 13:00:00,2627
19 14:00:00,2791
19 15:00:00,2782
19 16:00:00,2736
19 17:00:00,2567
19 18:00:00,2665
19 19:00:00,3279
19 20:00:00,2646
19 21:00:00,2504
19 22:00:00,2749
19 23:00:00,2663
20 00:00:00,2171
20 01:00:00,1781
20 02:00:00,1327
20 03:00:00,1225
20 04:00:00,1209
20 05:00:00,759
20 06:00:00,1121
20 07:00:00,1231
20 08:00:00,1389
20 09:00:00,1771
20 10:00:00,2288
20 11:00:00,2302
20 12:00:00,2372
20 13:00:00,1857
20 14:00:00,2381
20 15:00:00,2619
20 16:00:00,1876
20 17:00:00,1921
20 18:00:00,2345
20 19:00:00,2357
20 20:00:00,2372
20 21:00:00,2055
20 22:00:00,2333
20 23:00:00,1933
21 00:00:00,1579
21 01:00:00,1481
21 02:00:00,1389
21 03:00:00,1342
21 04:00:00,1353
21 05:00:00,704
21 06:00:00,1110
21 07:00:00,1160
21 08:00:00,1081
21 09:00:00,1424
21 10:00:00,1661
21 11:00:00,1545
21 12:00:00,1640
21 13:00:00,1393
21 14:00:00,1920
21 15:00:00,1583
21 16:00:00,1495
21 17:00:00,1495
21 18:00:00,1727
21 19:00:00,1898
21 20:00:00,1589
21 21:00:00,1484
21 22:00:00,1974
21 23:00:00,1579
22 00:00:00,1344
22 01:00:00,1367
22 02:00:00,1066
22 03:00:00,1028
22 04:00:00,1022
22 05:00:00,640
22 06:00:00,934
22 07:00:00,768
22 08:00:00,721
22 09:00:00,1384
22 10:00:00,1705
22 11:00:00,1601
22 12:00:00,1858
22 13:00:00,1857
22 14:00:00,1834
22 15:00:00,1374
22 16:00:00,1531
22 17:00:00,1447
22 18:00:00,1888
22 19:00:00,2462
22 20:00:00,2338
22 21:00:00,2104
22 22:00:00,1714
22 23:00:00,1870
23 00:00:00,1958
23 01:00:00,1263
23 02:00:00,1409
23 03:00:00,1275
23 04:00:00,1005
23 05:00:00,982
23 06:00:00,811
